abortion	aborticide, feticide, foeticide, embryoctony
cloning	copy humans, replicate humans, duplicate humans
death penalty	capital punishment, death sentence, death warrant, execution, judicial murder
gun control	arms limitation, arms reduction
marijuana legalization	marijuana legalisation, cannabis legalization, legality of cannabis, decriminalize marijuana
minimum wage	living wage, base pay, nominal wages, minimum income, minimum standard of living, subsistence level
nuclear energy	nuclear power, atomic energy, atomic power, fission power, fusion power, thermonuclear energy
school uniforms	school clothing, school outfit, dress code
the right to keep and bear arms	right to possess weapons, permit to carry weapons
Physical education	physical training, psycho-motor learning, sport at school
breast implants	breast prosthesis, augmented breasts, boob job
wealth redistribution	spreading the wealth, redistribution of income
water privatization	private sector participation in the provision of water services and sanitation, privatization of water services
online dating services	Internet dating, online dating websites, hookup apps
strip clubs	adult entertainment, gentlemen's clubs, striptease dancers club
the sale of violent video games to minors	selling violent video games to kids, kids purchasing violent computer games
universal health care	universal health coverage, universal coverage, universal care, quality medical services to all citizens
organ trade	red market, trading of human organs
ivory trade	ivory commerce, tusk trade
full-body scanners	security screening, full body security scanner, body scan device
the monarchy	autocracy, crown, kingdom
atheism	disbelief in God, agnosticism
student loans	loan granted to a student, student financial aid
affirmative action	improved opportunities for minority groups, positive action, support members of disadvantaged groups
the use of personalized medicine	precision medicine, theranostics, tailoring of medical treatment
public service broadcasters	Public broadcasting, public service radio and tv
compulsory voting	mandatory voting, vote as a civil responsibility
geothermal energy	geothermal power, earth's thermal resources, Earth's internal heat
The free market	unregulated system of economic exchange, free trade, open market
illegal immigration	undocumented immigrants, day-crosser, illigal aliens
cell phone use while driving	mobile phone and driving safety, texting and driving, distracted driving
Abstinence-only sex education	sexual risk avoidance programs, abstinence-only-until-marriage programs, abstinence-only sex ed
ecotourism	sustainable tourism, sustainable travel, responsible travel
the growing of coca leaf	coca leaf production, growing of coca plants
temporary employment	temporary work, odd jobs, gigs, seasonal work, contractual work
insider trading	insider dealing, selling a publicly-traded company's securities
vegetarianism	no meat and fish eating
covenant marriage	covenant marriage statute
gender inequality	gender disparity, inequality between men and women, disparities between the sexes
adoptions	foster child, guardianship
prostitution	fornication, harlotry, sex workers, sex tourism, escort service
